Top1 肖申克的救赎
Top2 这个杀手不太冷
Top3 霸王别姬
Top4 阿甘正传
Top5 美丽人生
Top6 千与千寻
Top7 辛德勒的名单
Top8 泰坦尼克号
Top9 盗梦空间
Top10 海上钢琴师
Top11 机器人总动员
Top12 三傻大闹宝莱坞
Top13 放牛班的春天
Top14 忠犬八公的故事
Top15 大话西游之大圣娶亲
Top16 龙猫
Top17 教父
Top18 乱世佳人
Top19 楚门的世界
Top20 天堂电影院
Top21 当幸福来敲门
Top22 搏击俱乐部
Top23 触不可及
Top24 十二怒汉
Top25 指环王3：王者无敌
Top26 无间道
Top27 怦然心动
Top28 罗马假日
Top29 天空之城
Top30 熔炉
Top31 少年派的奇幻漂流
Top32 大话西游之月光宝盒
Top33 两杆大烟枪
Top34 飞屋环游记
Top35 鬼子来了
Top36 蝙蝠侠：黑暗骑士
Top37 飞越疯人院
Top38 窃听风暴
Top39 海豚湾
Top40 活着
Top41 星际穿越
Top42 V字仇杀队
Top43 闻香识女人
Top44 美丽心灵
Top45 教父2
Top46 指环王2：双塔奇兵
Top47 指环王1：魔戒再现
Top48 天使爱美丽
Top49 哈尔的移动城堡
Top50 情书
Top51 死亡诗社
Top52 美国往事
Top53 七宗罪
Top54 钢琴家
Top55 狮子王
Top56 勇敢的心
Top57 剪刀手爱德华
Top58 致命魔术
Top59 被嫌弃的松子的一生
Top60 音乐之声
Top61 小鞋子
Top62 辩护人
Top63 低俗小说
Top64 入殓师
Top65 饮食男女
Top66 蝴蝶效应
Top67 沉默的羔羊
Top68 本杰明·巴顿奇事
Top69 控方证人
Top70 黑客帝国
Top71 玛丽和马克思
Top72 拯救大兵瑞恩
Top73 西西里的美丽传说
Top74 幽灵公主
Top75 心灵捕手
Top76 第六感
Top77 素媛
Top78 阳光灿烂的日子
Top79 大鱼
Top80 让子弹飞
Top81 射雕英雄传之东成西就
Top82 阳光姐妹淘
Top83 大闹天宫
Top84 春光乍泄
Top85 上帝之城
Top86 重庆森林
Top87 禁闭岛
Top88 甜蜜蜜
Top89 致命ID
Top90 告白
Top91 一一
Top92 萤火虫之墓
Top93 加勒比海盗
Top94 爱在黎明破晓前
Top95 风之谷
Top96 阿凡达
Top97 爱在日落黄昏时
Top98 断背山
Top99 侧耳倾听
Top100 布达佩斯大饭店
